Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Auditory;110;i;L1;T0;236;-0,2518;11334.39397;14.74067555
Auditory;111;i;L1;T0;186;0;8563.9105;96.55886756
Auditory;112;i;L1;T0;180;0;3772.406591;142.6363673
Auditory;113;i;L1;T0;230;-0,0941;2011.162707;546.756153
Auditory;114;i;L1;T0;250;-0,0115;2133.759394;87.42411851
Auditory;115;i;L1;T0;194;-0,2189;2571.823644;249.883081
Auditory;116;i;L1;T0;197;-0,345;1503.64121;188.9346588
Auditory;117;i;L1;T0;247;0;4070.331582;197.5663177
Auditory;118;i;L1;T0;193;-0,4282;2775.99054;25.73199703
Auditory;119;i;L1;T0;183;-0,1424;2802.609858;62.73655649
Auditory;120;i;L1;T0;229;-0,1764;6146.296814;179.3582861
Auditory;121;i;L1;T0;216;0;10967.43542;100.5586727
Auditory;122;i;L1;T0;220;-0,1658;1834.871768;53.50806563
Auditory;123;i;L1;T0;252;-0,1044;1600.009149;115.7036039
Auditory;124;i;L1;T0;226;-0,1132;27387.61369;38.00562808
Auditory;125;i;L1;T0;263;0;4104.024436;528.2855056
Auditory;126;i;L1;T0;138;-0,7027;3818.145113;40.3247956
Conflicting;201;i;L1;T0;187;-0,1641;953.5492966;71.69810876
Conflicting;202;i;L1;T0;230;0;5570.717543;173.9209816
Conflicting;203;i;L1;T0;212;-1,2584;1942.656364;149.7305345
Conflicting;204;i;L1;T0;278;0;995.694027;14.22711432
Conflicting;205;i;L1;T0;234;-0,056;4278.89872;188.4073686
Conflicting;206;i;L1;T0;234;-0,1904;2982.793349;561.7535237
Conflicting;207;i;L1;T0;208;-0,0683;4786.353278;480.5450009
Conflicting;208;i;L1;T0;200;-1,1383;3773.900565;5.79260806
Conflicting;209;i;L1;T0;209;0;12822.84368;168.1178514
Conflicting;210;i;L1;T0;210;0;4119.587727;36.97037559
Conflicting;211;i;L1;T0;208;0;3457.692169;108.1057787
Conflicting;212;i;L1;T0;277;-0,0814;1209.733433;38.31344022
Conflicting;213;i;L1;T0;219;-0,0131;8580.405059;340.3732066
Conflicting;214;i;L1;T0;251;-0,1848;1682.449681;29.89638217
Conflicting;215;i;L1;T0;188;-0,0196;2242.116716;28.77586663
Conflicting;217;i;L1;T0;232;-0,0401;4231.77292;260.4713442
